arabic market name ,price for 1kg,perfume code,compny tag
هاجر,50,,EMSA
هافانا,52,,EMSA
هافوك,44,,EMSA
هافوك رجالي,48,,EMSA
هافوك نسائي,48,,EMSA
هاواي,40,,EMSA
هاواي تايتانيك,38,,EMSA
همر ,54,,EMSA
هو كو انيرجايز,50,,EMSA
هو كو رجالي M,42,,EMSA
هوكو نسائي,42,,EMSA
هو كو كن مختلفا,48,,EMSA
هبتونيك بويزن,48,,EMSA
هوت,54,,EMSA
هيربيسيمو,60,,EMSA
هبي كلينك,48,,EMSA
وان مان شو,48,,EMSA
وان مان شو (معطر جو),26,,EMSA
وان مليون,54,,EMSA
ورد سويسري,40,,EMSA
وصال,80,,EMSA
وقت الحب,46,,EMSA
وقود الحياة,50,,EMSA
ويك اند,40,,EMSA
ورد متسلق,36,,EMSA
ورد تركي,40,,EMSA
ورد مغربي,42,,EMSA
وشوشة,66,,EMSA
ورد الطائف,40,,EMSA
ورد محمدي,43,,EMSA
ياسمين مصري,24,,EMSA
UDV,60,,EMSA
يوجي,46,,EMSA
يونيفاي,100,,EMSA
ايبل امواج W,74,,EMSA
اوبيوس Opus امواج,74,,EMSA
العذراء,48,,EMSA
عنبر ENG,36,,EMSA
ماكس,?,,EMSA
جبرايل شانيل,64,,EMSA
بيور Xs,54,,EMSA
سكا ندال,56,,EMSA
اكتف ومان,58,,EMSA
خشب العود,100,,EMSA
مايكل كورس (48 ساعة),60,,EMSA
جاسمين ملكي طبيعي,100,,EMSA
شاليز الليلة الحمراء,54,,EMSA
هافوك اخضر,50,,EMSA
فولتير,75,,EMSA
ذه رجالي,60,,EMSA
سوبرمان,56,,EMSA
السلطان,68,,EMSA
دومينانت,78,,EMSA
بروت فابريج,48,,EMSA
مخلط كويتي,60,,EMSA
ملك الإغراء,64,,EMSA
ويلي,54,,EMSA
غلا خليفة,64,,EMSA
مذهلة,54,,EMSA
هوكو دارك بلو,48,,EMSA
كسينتو (سوسييرو),64,42547,EMSA
لباقة العليا,54,42541,EMSA
الرومانسية العربية للعود,60,42542,EMSA
شيخ زايد جوري,44,42545,EMSA
بوز بطل عود,52,42533,EMSA
كلاسيكا (سوسبيرو),68,42548,EMSA
ERBA PUR (سوسبيرو),64,42549,EMSA
قوس النصر,48,42546,EMSA
ايسي مياكي نوت,52,42537,EMSA
اوزون Ozon,52,42535,EMSA
غلا زايد ITALY,64,42539,EMSA
هافين,؟,42534,EMSA
بلاي بوي سكسي,46,42536,EMSA
بولو اكسبلورير,58,42543,EMSA
زعفران,64,42532,EMSA
لوكس, 20 بدون خصم,42544,EMSA
كومفورت داوني,24 بدون خصم,42540,EMSA
سر الخلود,؟,42538,EMSA
أنتريج FR,64,42660,EMSA
أرماني برايف أربيان روز,68,42652,EMSA
السعادة (الليلة الذهبية),64,42648,EMSA
العود الأبيض ARG,65,42650,EMSA
اللمسة الجنسية,60,42662,EMSA
بوكارت روج Swiss,78,42661,EMSA
ذه أونلي وان FR,64,42654,EMSA
سنان FR,؟,42658,EMSA
سيكار GER,68,42656,EMSA
شهرة نسائي W,64,42647,EMSA
عود مثالي FR,؟,42659,EMSA
فيجي ENG,42,42655,EMSA
لا شيء سواك GOSH,64,42649,EMSA
مسك طهارة FR,64,42653,EMSA
هوت بلاك,60,42646,EMSA
هالوين,64,42651,EMSA
وصال FR,90,42657,EMSA
الف زهرة,75,42748,EMSA
مسك ابيض F,75,42749,EMSA
212 VIP نسائي,75,42750,EMSA
باودر مسك,65,42751,EMSA
مسك العرموط,65,42752,EMSA
مسك الخوخ,65,42753,EMSA
مسك خزامي,65,42754,EMSA
فتاة غامضة,75,42755,EMSA
رمال الليل ارماني,125,42756,EMSA
بربري هير,85,42757,EMSA
الأنوثة,60,42638,EMSA
أحلام العرب عودي,65,42640,EMSA
أرماني برايف,75,42645,EMSA
أرماني روج,65,42642,EMSA
آل انستانت GUERLAIN,60,42628,EMSA
الفاخر,65,42631,EMSA
بيكوزاتزيو (BECAUSE ITS YOU),74,42630,EMSA
بلوم كوجي,64,42636,EMSA
باكارات روج,80,42639,EMSA
بولو ألترا بلو,65,42644,EMSA
تي روز USA,45,42627,EMSA
حامل المسك,65,42633,EMSA
سيكرت بيبي باودر,60,42626,EMSA
سترونجر وذ يو (STRONGER WITH YOU),؟,42629,EMSA
شهرة M,64,42643,EMSA
شيخ 2020,64,42637,EMSA
فايكنج كريد,60,42635,EMSA
فيرساجي كرستال نوار,65,42641,EMSA
مسك عراقي,84,42625,EMSA
كونيكت ايروتيك,65,42632,EMSA
هاوسمان رجالي (هوس),75,42634,EMSA
تراب الذهب ENG.,46,42663,EMSA
سوبر بلاتينيوم ENG.,100,42664,EMSA
مسك الحرير Swiss,100,42665,EMSA
خشب الأرز الفاخر,120,42666,EMSA
أرماني برايف تركوازي,75,42667,EMSA
أرماني برايف أزرق,75,42668,EMSA
الزهرة الأولى,100,42669,EMSA
مسك طهارة جديد,48,42670,EMSA
اكسيريوس,58,42703,EMSA
الشاي الابيض,58,42704,EMSA
كريد افنتوس سويسري,85,42705,EMSA
الخيال VIP,85,42706,EMSA
L 3 VIP,60,42707,EMSA
رمزي رصاصي,80,42709,EMSA
رمال,75,42710,EMSA
ليل ملكي VIP,75,42711,EMSA
اسم مياكي نكتر,65,42712,EMSA
هوكو W سويسري,65,42713,EMSA
عطر العروسة / ارض الخليج,65,42714,EMSA
لوتر عود / لانكوم,85,42716,EMSA
فاسيو,65,42715,EMSA
لا يقاوم رصاصي VIP,105,42717,EMSA
انطباع رصاصي VIP,105,42718,EMSA
انفاس الشغف رصاصي,65,42719,EMSA
بصمة VIP,85,42720,EMSA
مسك نوبل,65,42721,EMSA
EPIG + اسم اخر غير واضح,60,47708,EMSA
ماي واي انتينز,65,42731,EMSA
بولو الكأس,65,42732,EMSA
نوليميت,90,42733,EMSA
روز ميلانو ارماني,65,42734,EMSA
غلا الروح (كويت),65,42735,EMSA
jpg سكاندال,65,42736,EMSA
انطونيو (M),65,42737,EMSA
ال روشاز (m),75,42738,EMSA
اسرار النساء,75,42739,EMSA
فري كود كيل,75,42740,EMSA
passion عشق,90,42741,EMSA
